Player,Goals,Assists,Yel,Red
"Ollie Watkins27, AM(LR),FW",15,6,4,-
"Douglas Luiz25, M(C)",6,6,6,1
"Emiliano Martínez30, GK",-,-,7,-
"Jacob Ramsey22, AM(CLR)",6,7,5,-
"John McGinn28, M(CR)",1,3,7,-
"Tyrone Mings30, D(CL)",1,2,7,-
"Álex Moreno30, D(L),M(L)",-,3,3,-
"Emiliano Buendía26, M(CLR),FW",5,2,-,-
"Robin Olsen33, GK",-,-,-,-
"Leon Bailey25, M(CLR),FW",4,4,4,-
"Boubacar Kamara23, D(CL),DMC",-,1,4,-
"Ashley Young38, D(LR),M(LR)",1,-,7,-
"Ezri Konsa25, D(CR)",-,-,6,-
"Matty Cash25, D(R),M(CLR)",-,1,4,-
"Danny Ings31, AM(C),FW",6,-,3,-
"Lucas Digne30, D(CL),M(L)",1,-,5,-
"Philippe Coutinho31, M(CLR)",1,-,3,-
"Ludwig Augustinsson29, D(L),M(L)",-,-,1,-
"Bertrand Traoré27, AM(R),FW",2,-,1,-
"Jan Bednarek27, D(C)",-,-,-,-
"Leander Dendoncker28, D(C),M(C)",-,-,-,-
"Calum Chambers28, D(CR),DMC",-,-,2,-
"Diego Carlos30, D(C)",-,-,-,-
"Jhon Durán19, FW",-,-,1,-
"Morgan Sanson28, M(CLR)",-,-,-,-
,-,-,-,-
,,,,
