Squad Members ,Position ,Goals Scored,Assists Given,Yellow Cards ,Red Cards
Alisson Becker,Goalkeeper,0,1,1,0
Adrian ,Goalkeeper,,,,
Caoimhin Kelleher,Goalkeeper,,,,
Harvey Davies,Goalkeeper,,,,
Virgil Van Dijk,Defender,3,1,3,0
Ibrahima Konate,Defender,,,,
Joe Gomez,Defender,,,,
Konstantinos Tsimikas,Defender,,,,
Andrew Robertson,Defender,,,,
Joel Matip,Defender,,,,
Trent Alexander Arnold,Defender,2,9,5,0
Calvin Ramsay,Defender,,,,
Nathaniel Phillips,Defender,,,,
Stefan Bajcetic,Defender,,,,
Rhys Williams,Defender,,,,
Fabinho,Midfielder ,,,,
Thiago Alcantra,Midfielder ,0,0,2,0
James Milner,Midfielder ,0,1,2,0
Naby Keita,Midfielder ,0,0,1,0
Jordan Henderson,Midfielder ,0,2,2,0
Oxlade Chamberlain,Midfielder ,1,0,0,0
Curtis Jones,Midfielder ,3,1,2,0
Harvey Elliot,Midfielder ,1,2,2,0
Fabio Carvalho,Midfielder ,2,0,0,0
Bobby Clark,Midfielder ,0,0,0,0
Arthur,Midfielder ,0,0,,0
Roberto Firmino,Attacker,11,4,0,0
Mohammed Salah,Attacker,19,12,2,0
Diogo Jota,Attacker,7,4,2,0
Luis Diaz,Attacker,4,2,2,0
Darwin Nunez,Attacker,9,3,1,1
Ben Doak,Attacker,0,0,0,0
Layton Stewart,Attacker,0,0,0,0
Cody Gakpo,Attacker,7,2,0,0
