Squad Players,Position,Goals Scored,Assist,Red Cards,Yellow Cards
Alex Mccarthy,Goalkeeper,0,0,0,0
Willy Caballero,Goalkeeper,0,0,0,0
Gavin Bazunu,Goalkeeper,0,0,0,0
Kyle Walker-Peters,Defender,1,0,0,4
Ainsley Maitland-Niles,Defender,0,0,0,3
Lyanco,Defender,1,1,0,4
Duje Caleta-Car,Defender,1,0,0,2
James Bree,Defender,0,0,0,1
Romain Perraud,Defender,2,2,0,4
Tino Livramento,Defender,0,0,0,0
Mohammed Salisu,Defender,0,1,0,5
Juan Larios,Defender,0,0,0,0
Jan Bednarek,Defender,0,0,0,5
Armerl Bella-Kotchap,Defender,0,2,0,4
Joe Aribo ,Midfielder,2,0,0,2
James Ward-Prowse,Midfielder,9,4,0,6
Mislav Orsic,Midfielder,0,0,0,0
Stuart Armstrong,Midfielder,2,1,0,6
Moussa Djenepo ,Midfielder,0,2,0,1
Kamaldeen Sulemana,Midfielder,2,1,0,1
Samuel Edozie,Midfielder,0,0,0,0
Mohamed Elyounoussi,Midfielder,,,,
Carlos Alcaraz,Midfielder,4,2,0,3
Ibrahima Diallo,Midfielder,0,0,0,4
Theo Walcott,Midfielder,2,2,0,1
Romeo Lavia,Midfielder,1,0,0,0
Adam Armstrong,Attacker,2,1,0,1
Che Adams,Attacker,5,3,0,1
Paul Onuachu,Attacker,0,0,0,0
Sekou Mara,Attacker,1,2,0,1
