Squad Player,Position,goal scored,assist,red card,yellow card
Delcan Rice,Midfielder,4,2,0,5
Lucas Paqueta,Midfielder,4,3,0,5
Alphonse Areola,Goalkeeper,0,0,0,0
Lukasz Fabianski,Goalkeeper,0,0,0,0
Vladimir Coufal,Midfielder,0,1,0,5
Kurt Zouma,Midfielder,2,0,0,0
Tomas Soucek,Midfielder,2,3,0,3
Jarrod Bowen,Attackers,6,5,0,2
Said Benrahma,Attackers,6,3,0,0
Nayef Aguerd,Defender,2,0,0,4
Gianluca Scamacca,Attackers,3,0,0,3
Aaron Cresswell,Defender,0,1,3,0
Michail Antonio,Attakcer,5,3,0,2
Thilo keher,Defender,0,2,4,0
Angelo Ogbonna,Defender,0,0,0,0
Pablo Fornals,Midfielder,2,2,0,0
Emerson,Defender,1,0,2,0
Danny Ings,Attackers,2,2,0,1
Flynn Downes,Midfielder,0,0,0,2
Maxwel Cornet,Midfielder,0,0,0,0
Manuel Lanzini,Midfielder,1,0,0,0
